author,meanCompound,postCount,majorityLabel
arobertswrites.com,0.06471428571428571,7,positive
arorzoff.bsky.social,0.0,1,neutral
arrdeux.bsky.social,-0.2263,1,negative
arrianna-planey.bsky.social,0.50705,4,positive
arsonfly.bsky.social,-0.34964,5,negative
artbydbenny.bsky.social,-0.8402,1,negative
artcandee.bsky.social,-0.2553,2,negative
artemimisia.bsky.social,0.0,1,neutral
arterialz.bsky.social,0.7184,1,positive
artesianmystic.bsky.social,-0.296,1,negative
artglassjo.bsky.social,0.0,1,neutral
arthurcraven.bsky.social,0.7923,1,positive
artistflorida.bsky.social,0.07080000000000003,2,negative
artistlife2023.bsky.social,-0.3736,1,negative
artkz.bsky.social,0.0,1,neutral
artrage.bsky.social,0.04074999999999998,2,positive
artstradamagazine.bsky.social,-0.3715,2,negative
artsygirl080.bsky.social,-0.6239,1,negative
arturoviaggia.bsky.social,0.3412,1,positive
artzmotionz.bsky.social,-0.0516,1,negative
asaraviapt.bsky.social,0.5719,1,positive
asbertke.bsky.social,-0.7801,1,negative
ascherrod.bsky.social,0.4926,1,positive
asenathmagic.bsky.social,-0.2263,1,negative
asha84.bsky.social,-0.3832,1,negative
asherlangton.bsky.social,-0.19595,2,neutral
ashertheowl.bsky.social,0.07379999999999998,2,positive
ashleighparsons.bsky.social,-0.2023,1,negative
ashleytwelve.bsky.social,0.5983,1,positive
ashokhotnik.bsky.social,-0.20075,2,neutral
ashtonpittman.bsky.social,-0.27475,2,negative
askforlinda.bsky.social,0.0,1,neutral
askmehow.bsky.social,-0.6037,1,negative
askwong.bsky.social,-0.8402,1,negative
asofel.bsky.social,0.6369,1,positive
aspentangle.bsky.social,-0.5487,1,negative
asrivers.bsky.social,0.0,1,neutral
asstrocyte.bsky.social,0.5574,1,positive
astartiel.substack.com,0.7275,1,positive
aster-verite.bsky.social,-0.050083333333333334,6,positive
asteraceaeg.bsky.social,-0.1589,3,neutral
astraltraveler.bsky.social,-0.9505,1,negative
astrospiff.bsky.social,0.0,1,neutral
asura.dev,0.6759,1,positive
asuvir.bsky.social,0.6084,2,positive
atherton.bsky.social,-0.4404,1,negative
atina67.bsky.social,0.0,1,neutral
atiraslight.bsky.social,0.06905,4,neutral
atlantadem.bsky.social,0.0,1,neutral
atlantanewsfirst.com,-0.2263,1,negative
atomicgolem.bsky.social,0.24295,2,neutral
atrupar.com,0.03706666666666667,3,neutral
attentir.bsky.social,0.3612,1,positive
attil22.bsky.social,0.0,1,neutral
attituderight.bsky.social,0.0,1,neutral
attorneybot2021.bsky.social,-0.27115,2,negative
aucuparia.bsky.social,-0.01469999999999999,2,negative
audhdeepdive.blacksky.app,-0.31105,4,neutral
audreyjane.bsky.social,-0.7351,1,negative
augurx.bsky.social,0.5106,1,positive
augustakaiserin.bsky.social,0.7177,1,positive
aulieude.bsky.social,0.0672,3,negative
aumickwriter.bsky.social,-0.0772,1,negative
aungard.bsky.social,0.6249,1,positive
auntbunny.bsky.social,0.6588,1,positive
auntelle.bsky.social,0.1298,1,positive
auntieranty.bsky.social,-0.5423,1,negative
auntiesnack.bsky.social,-0.4939,1,negative
auntifafa.bsky.social,0.10167,10,neutral
auntpatty.bsky.social,-0.12040000000000001,3,neutral
auntyr.bsky.social,0.09705,2,negative
aurel.indoorco2map.com,-0.16824999999999998,2,negative
aurelius.quest,0.0,1,neutral
aurora31127.bsky.social,0.5965,1,positive
aurorazee.bsky.social,0.0,1,neutral
authenticityforge.bsky.social,0.2857,2,positive
authormichaelhicks.bsky.social,0.0,1,neutral
autistichalsin.bsky.social,0.19897499999999999,4,positive
autistocrats.bsky.social,0.0,1,neutral
autopostai.bsky.social,-0.0572,1,negative
autumnbomb357.bsky.social,-0.44855,2,negative
avatar2024.bsky.social,0.3182,1,positive
avclub.com,-0.0286,1,neutral
averagingjoe.bsky.social,0.0,1,neutral
aviationandfood.bsky.social,0.0,1,neutral
avoidxthought.bsky.social,-0.6652,1,negative
avsolutions.bsky.social,-0.6908,1,negative
awaterevalley.bsky.social,-0.1154,1,negative
awellsab.bsky.social,0.4404,1,positive
awesomebdawsonv.bsky.social,0.0,1,neutral
awesomerobots.bsky.social,0.0,1,neutral
