videoId,title,description,channelTitle,channelId,publishedAt,searchQuery,url,viewCount,likeCount,commentCount,commentsFetched,year,year_month,channel_type
ZncfH7nKX74,Hantavirus: Expert explains what you NEED to know,How concerned should the public be about the Andes hantavirus outbreak linked to the MV Hondius cruise ship? In this MedPage ...,MedPage Today,UC6MvIpGxljZrvmpgr4b19AQ,2026-05-13 18:11:24+00:00,hantavirus expert explains,https://www.youtube.com/watch?v=ZncfH7nKX74,5004,132,19,15,2026,2026-05,medical_expert
UMJJFnxPdZg,Why Experts Say Hantavirus Isn’t Like COVID,"An outbreak of hantavirus aboard the Dutch cruise ship MV Hondius has so far sickened eight people, killing three of them. Five of ...",TIME,UC8Su5vZCXWRag13H53zWVwA,2026-05-13 18:34:48+00:00,hantavirus expert explains,https://www.youtube.com/watch?v=UMJJFnxPdZg,184905,3128,369,184,2026,2026-05,news_media
ZGFmvC9TVsg,"Hantavirus Pulmonary Syndrome Explained | Symptoms, Risks &amp; Prevention | Dr Alan Mandell",Hantavirus Pulmonary Syndrome (HPS) is a rare but serious viral disease that can quickly become life-threatening if early warning ...,Focus on Natural Health,UCRviBi4hft2R-0UQ31nEBbA,2026-05-17 19:00:25+00:00,hantavirus expert explains,https://www.youtube.com/watch?v=ZGFmvC9TVsg,83634,2049,212,142,2026,2026-05,medical_expert
QLIPRp7YMaA,Medical expert explains symptoms of hantavirus in wake of deadly cruise ship outbreak,There has been a lot in the news lately about hantavirus. The rare disease generated a lot of buzz when passengers on board a ...,News4JAX The Local Station,UC_YFbvKedjnVjqrZqBR4L8Q,2026-05-07 11:45:20+00:00,hantavirus expert explains,https://www.youtube.com/watch?v=QLIPRp7YMaA,688,6,1,1,2026,2026-05,news_media
SgAnBAO6eCo,Hantavirus facts vs. fiction: Experts break down what you should know,"While the CDC maintains risk to the public surrounding the latest hantavirus outbreak is low, monitoring of passengers continues.",NBC Chicago,UCL9C44BZd_8hRa9OPMjIpMg,2026-05-13 22:31:21+00:00,hantavirus expert explains,https://www.youtube.com/watch?v=SgAnBAO6eCo,289,1,1,0,2026,2026-05,medical_expert
KcAHHDfaPRY,Hantavirus outbreak | One expert explains how it can spread,One expert explains how Hantavirus could spread during travel. Read more: KCENTV.com SUBSCRIBE | http://bit.ly/2Z6mT7N ...,KCENNews,UCjq9ElqnV7Df6NLb4oDHKqQ,2026-05-05 22:26:36+00:00,hantavirus expert explains,https://www.youtube.com/watch?v=KcAHHDfaPRY,321,3,2,2,2026,2026-05,news_media
MC9zNrcGNOM,What is hantavirus? Infectious disease expert explains after cruise ship deaths | ChicagoLIVE,"Dr. Graeme Forrest of Rush University Medical Center joins the show to break down what hantavirus is, how it spreads and what ...",FOX 32 Chicago,UCFmofUYwZd1Ibf_O3PF71jg,2026-05-04 19:55:38+00:00,hantavirus expert explains,https://www.youtube.com/watch?v=MC9zNrcGNOM,542,9,1,1,2026,2026-05,medical_expert
r8oAdeXl6yo,Experts are getting chronic fatigue syndrome from having to explain that hantavirus is NOT Covid 2.0,,The Daily Show,UCwWhs_6x42TyRM4Wstoq8HA,2026-05-14 18:00:33+00:00,hantavirus expert explains,https://www.youtube.com/watch?v=r8oAdeXl6yo,113967,6585,120,83,2026,2026-05,political_commentary
0lqoSy6__C0,Hantavirus: Listen to the scientists,"I'm just a journalist, not a scientist. I let them do the research, and I do the informing. #hantavirus #epidemiology #publichealth ...",Maxwell Burton,UCIxvhhjups0CqzvjPbbOR8A,2026-05-18 10:37:02+00:00,hantavirus public health,https://www.youtube.com/watch?v=0lqoSy6__C0,534,11,0,0,2026,2026-05,general_trending
jCcwZcewhiY,You Don&#39;t Need a Bite to Get Hantavirus #health #hantavirus,"Dr. Yasin provides a crucial health alert regarding the hanta virus, explaining its origins and transmission. He emphasizes the ...",SKIN4U Med Spa And Health Clinic,UCE6WqCxoZVx3P4_hMI6466w,2026-05-15 23:00:17+00:00,hantavirus public health,https://www.youtube.com/watch?v=jCcwZcewhiY,53871,986,83,48,2026,2026-05,medical_expert
mGSfmlfLtpg,Is Hantavirus the Next Pandemic?,"Why are scientists paying such close attention to the hantavirus outbreak? In this episode of That's Life, Insoo Hyun explains ...",Museum of Science,UCeYda7MUy54yNYJya8txkJA,2026-05-13 15:03:36+00:00,hantavirus public health,https://www.youtube.com/watch?v=mGSfmlfLtpg,100177,1467,66,39,2026,2026-05,medical_expert
